2025-07-04 15:02:39.359 [info] updateURL https://api2.cursor.sh/updates/api/update/linux-x64/cursor/1.2.1/8ac364b819bbfb9633a829450228386eb96abc5abf1e96aee7235a31a1fdd736/stable
2025-07-04 15:02:39.360 [info] update#setState idle
2025-07-04 15:02:44.554 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:44.634 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:44.677 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:44.709 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:44.864 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:44.906 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:44.946 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.019 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.083 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.178 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.219 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.301 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.386 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.487 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.567 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:02:45.681 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
